,id
807,3709162
808,3709163
809,3709169
810,3709180
811,3709182
812,3709186
813,3709190
814,3709193
815,3709204
816,3709205
817,3709207
818,3709215
819,3709216
820,3709218
821,3709226
822,3709228
823,3709284
824,3709283
825,3709274
826,3709250
827,3709241
828,3709240
829,3709239
830,3709233
831,3709325
832,3709306
833,3709298
834,3709290
835,3709337
836,3709341
837,3709336
838,3709344
839,3709327
840,3709347
841,3709348
842,3709350
843,3709351
844,3709354
845,3709360
846,3709363
847,3709364
848,3709388
849,3709374
850,3709376
851,3709392
852,3709380
853,3709383
854,3709385
855,3709387
856,3709396
857,3709399
858,3709400
859,3709401
860,3709405
861,3709408
862,3709413
863,3709414
864,3709407
865,3709439
866,3709434
867,3709431
868,3709435
869,3709426
870,3709422
871,3709444
872,3709476
873,3709455
874,3709471
875,3709465
876,3709477
877,3709492
878,3709483
879,3709500
880,4742683
881,4750020
882,3718452
883,3718451
884,3718450
885,3718449
886,3718448
887,3718447
888,3718376
889,3718387
890,3718446
891,1029667522
892,1029667521
893,1029677053
894,1029664471
895,1029727641
896,1029816984
897,1029664478
898,1029768067
899,1029607457
900,1029690278
901,1029875441
902,1029690208
903,1029768064
904,1029783279
905,1029607482
906,1029727607
907,1029727662
908,1029727597
909,1029844730
910,1029658038
911,1029657974
912,1029658008
913,1029732150
914,1029703821
915,1029797308
916,1029831771
917,1029875452
918,1029797360
919,1029797365
920,1029732122
921,1029632157
922,1029632155
923,1029632143
924,1029593606
925,1029632196
926,1029803434
927,1029806225
928,1029803426
929,1029803372
930,1029806217
931,1029783274
932,1029735021
933,1029768103
934,1029732153
935,1029755911
936,1029816969
937,1029732162
938,1029816973
939,1029755929
940,1029732172
941,1029732114
942,1029831766
943,1029875420
944,1029831745
945,1029844725
946,1029844659
947,1029844712
948,1029844722
949,1029844625
950,1029844684
951,1029645240
952,1029645280
953,1029645308
954,1029645297
955,1029645311
956,1029645203
957,1029645223
958,1029658035
959,1029875414
960,1029645286
961,1029816980
962,1029715054
963,1029806226
964,1029844657
965,1029715037
966,1029806212
967,1029715012
968,1029816976
969,1029645267
970,1029715052
971,1029715066
972,1029715009
973,1029755973
974,1029645241
975,1029714990
976,1029715021
977,1029715058
978,1029755952
979,1029755984
980,1029797409
981,1029755930
982,1029755946
983,1029755983
984,1029783275
985,1029783304
986,1029755923
987,1029755949
988,1029755938
989,1029755944
990,3718444
991,1029797333
992,1029755971
993,1029755935
994,1029755942
995,1029755947
996,1029755974
997,3718443
998,3718441
999,3718440
1000,3718438
1001,3718437
1002,3718435
1003,3718432
1004,3718431
1005,3718430
1006,3718428
1007,3718427
1008,3718425
1009,3718424
1010,3718423
1011,3718422
1012,3718419
1013,3718418
1014,3718417
1015,3718415
1016,3718414
1017,9088057
1018,9088055
1019,3718413
1020,3718412
1021,3718410
1022,3718409
1023,3718408
1024,3718407
1025,3718406
1026,3718405
1027,3718404
1028,3718403
1029,3718401
1030,3718400
1031,3718397
1032,3718396
1033,3718392
1034,3718391
1035,3718388
1036,3718386
1037,3718385
1038,3718381
1039,3718380
1040,3718379
1041,3718377
1042,3718375
1043,3718374
1044,3718372
1045,3718371
1046,3718370
1047,3718366
1048,3718365
1049,3718364
1050,3718363
1051,3718362
1052,3718361
1053,3718360
1054,3718359
1055,3718358
1056,3718357
1057,3718355
1058,3718354
1059,3718353
1060,3718352
1061,3718349
1062,3718348
1063,3718347
1064,3718345
1065,3718343
1066,3718342
1067,3718341
1068,3718339
1069,3718337
1070,3718336
1071,3718335
1072,3718332
1073,3718331
1074,3718330
1075,3718329
1076,3718328
1077,3718327
1078,3718324
1079,3718323
1080,3718322
1081,3718320
1082,3718319
1083,3718318
1084,3718317
1085,3718316
1086,3718315
1087,3718314
1088,3718313
1089,3718312
1090,3718311
1091,3718310
1092,3718309
1093,3718307
